time	V(v0)	V(v3)
3.631348321526847e-05	-5.268501e-08	2.634893e-02
3.641113946526848e-05	-3.913246e-08	2.768786e-02
3.650879571526848e-05	-2.700645e-08	2.879811e-02
3.660645196526848e-05	-1.670030e-08	2.967362e-02
3.670410821526849e-05	-8.549466e-09	3.031114e-02
3.680176446526849e-05	-2.823082e-09	3.071017e-02
3.689942071526849e-05	2.828471e-10	3.089396e-02
3.704558503543413e-05	-1.994915e-10	3.069730e-02
3.713420248848677e-05	-3.510052e-09	3.033477e-02
3.723185873848678e-05	-9.719052e-09	2.973740e-02
3.732951498848678e-05	-1.845749e-08	2.894628e-02
3.742717123848678e-05	-2.949027e-08	2.797002e-02
3.752482748848678e-05	-4.251158e-08	2.682352e-02
3.762248373848679e-05	-5.715238e-08	2.552267e-02
3.772013998848679e-05	-7.298947e-08	2.408407e-02
3.781779623848679e-05	-8.955588e-08	2.252470e-02
3.791545248848680e-05	-1.063525e-07	2.086163e-02
3.801310873848680e-05	-1.228603e-07	1.911174e-02
3.811076498848680e-05	-1.385537e-07	1.729148e-02
3.820842123848680e-05	-1.529130e-07	1.541660e-02
3.830607748848681e-05	-1.654385e-07	1.350198e-02
3.840373373848681e-05	-1.756625e-07	1.156143e-02
3.850138998848681e-05	-1.831614e-07	9.607604e-03
3.859904623848682e-05	-1.875674e-07	7.651836e-03
3.869670248848682e-05	-1.885775e-07	5.704150e-03
3.890422201973682e-05	-1.785048e-07	1.622609e-03
3.897609021811181e-05	-1.707799e-07	2.386148e-04
3.904795841648679e-05	-1.611560e-07	-1.123580e-03
3.911982661486178e-05	-1.496333e-07	-2.463974e-03
3.919169481323676e-05	-1.362117e-07	-3.782568e-03
3.926356301161175e-05	-1.208912e-07	-5.079363e-03
3.933543120998673e-05	-1.036719e-07	-6.354358e-03
3.940729940836172e-05	-8.455371e-08	-7.607552e-03
3.945612753336172e-05	-7.084915e-08	-8.437853e-03
3.955378378336173e-05	-4.160061e-08	-1.006567e-02
3.965144003336173e-05	-1.030845e-08	-1.165100e-02
3.974909628336173e-05	2.248983e-08	-1.318667e-02
3.984675253336173e-05	5.621355e-08	-1.467115e-02
3.994440878336174e-05	9.025133e-08	-1.610253e-02
4.004206503336174e-05	1.239744e-07	-1.747835e-02
4.013972128336174e-05	1.567501e-07	-1.879545e-02
4.023737753336174e-05	1.879561e-07	-2.004991e-02
4.033503378336175e-05	2.169937e-07	-2.123693e-02
4.044489706461175e-05	2.463720e-07	-2.250372e-02
4.049386824075921e-05	2.582362e-07	-2.303182e-02
4.054283941690667e-05	2.691043e-07	-2.353472e-02
4.059181059305413e-05	2.789764e-07	-2.401242e-02
4.064078176920160e-05	2.878525e-07	-2.446492e-02
4.068975294534906e-05	2.957325e-07	-2.489222e-02
4.073872412149652e-05	3.026164e-07	-2.529432e-02
4.078769529764398e-05	3.085043e-07	-2.567121e-02
4.088535154764398e-05	3.165351e-07	-2.635554e-02
4.095602679560452e-05	3.194347e-07	-2.677296e-02
4.104363400988722e-05	3.195837e-07	-2.718972e-02
4.113102860627490e-05	3.159344e-07	-2.749730e-02
4.122868485627491e-05	3.074444e-07	-2.770239e-02
4.132634110627491e-05	2.944646e-07	-2.775614e-02
4.142399735627491e-05	2.772544e-07	-2.764579e-02
